slide_id,水用量（kg/m3）,水泥矿物组分_C3S（%）,水泥矿物组分_C2S（%）,水泥矿物组分_C3A（%）,水泥矿物组分_C4AF（%）,胶砂抗压_7d（MPa）,胶砂抗压_28d（MPa）,胶砂抗折3d（MPa）,胶砂抗折7d（MPa）,胶砂抗折_28d（MPa）,水化热_1d（J/g）,水化热_3d（J/g）,水化热_7d（J/g）,水泥用量（kg/m3）,FA化学组分_SiO2（%）,FA化学组分_Al2O3（%）,FA化学组分_Fe2O3（%）,FA化学组分_CaO（%）,粉煤灰用量（kg/m3）,砂表观密度（kg/m3）,砂用量（kg/m3）,石1坚固性（%）,石1压碎指标（%）,石1用量（kg/m3）,石2坚固性（%）,石2压碎指标（%）,石2用量（kg/m3）,石3坚固性（%）,石3压碎指标（%）,石3用量（kg/m3）,外加剂1用量（%）,外加剂2用量（%）,28d抗压强度
1,77,52.62,21.19,3.91,17.54,41.23333333,58.8,5.853333333,6.97,8.63,199,244,273,52,42.23,29.18,14.08333333,3.703333333,78,2650,702,3,6.58,457.8,1.3997,4.865,610.4,1.6428,5.286,457.8,0.3,0.01,10.4
2,78,52.62,21.19,3.91,17.54,41.23333333,58.8,5.853333333,6.97,8.63,199,244,273,56,42.23,29.18,14.08333333,3.703333333,84,2650,677,3,6.58,457.8,1.3997,4.865,610.4,1.6428,5.286,457.8,0.3,0.01,11.1
3,78,52.62,21.19,3.91,17.54,41.23333333,58.8,5.853333333,6.97,8.63,199,244,273,60,42.23,29.18,14.08333333,3.703333333,90,2650,650,3,6.58,462,1.3997,4.865,616,1.4682,5.286,462,0.3,0.01,12.2
4,78,52.62,21.19,3.91,17.54,41.23333333,58.8,5.853333333,6.97,8.63,199,244,273,68,42.23,29.18,14.08333333,3.703333333,102,2650,622,3,6.58,465,1.3997,4.865,620,1.4383,5.286,465,0.3,0.01,16.9
5,76,52.62,21.19,3.91,17.54,41.23333333,58.8,5.853333333,6.97,8.63,199,244,273,82,42.23,29.18,14.08333333,3.703333333,68,2650,655,3,6.58,466.8,1.3997,4.865,622.4,1.4383,5.286,466.8,0.3,0.01,16.9
6,75,52.62,21.19,3.91,17.54,41.23333333,58.8,5.853333333,6.97,8.63,199,244,273,94,42.23,29.18,14.08333333,3.703333333,76,2650,628,3,6.58,469.2,1.3997,4.865,625.6,1.4383,5.286,469.2,0.3,0.01,23.6
7,95,52.62,21.19,3.91,17.54,41.23333333,58.8,5.853333333,6.97,8.63,199,244,273,169,42.23,29.18,14.08333333,3.703333333,42,2650,524,3,6.58,471.9,1.3997,4.865,629.2,1.4383,5.286,471.9,0.2,0.004,28.1
8,95,52.62,21.19,3.91,17.54,41.23333333,58.8,5.853333333,6.97,8.63,199,244,273,190,42.23,29.18,14.08333333,3.703333333,48,2650,497,3,6.58,482.4,1.3997,4.865,643.2,1.4385,5.286,482.4,0.2,0.004,36.9
9,93,52.62,21.19,3.91,17.54,41.23333333,58.8,5.853333333,6.97,8.63,199,244,273,207,0,0,0,0,0,2650,532,3,6.58,483,1.3997,4.865,644,1.4385,5.286,483,0.2,0.004,27.3
10,92,52.62,21.19,3.91,17.54,41.23333333,58.8,5.853333333,6.97,8.63,199,244,273,230,0,0,0,0,0,2650,506,3,6.58,489,1.3997,4.865,652,1.4385,5.286,489,0.2,0.004,34.2
11,93,52.62,21.19,3.91,17.54,41.23333333,58.8,5.853333333,6.97,8.63,199,244,273,130,42.23,29.18,14.08333333,3.703333333,56,2650,481,3,6.58,314.4,1.3997,4.865,209.6,1.3708,5.074,524,0.25,0.0055,26
12,83,52.62,21.19,3.91,17.54,41.23333333,58.8,5.853333333,6.97,8.63,199,244,273,116,42.23,29.18,14.08333333,3.703333333,50,2650,492,3,6.58,505.2,1.3997,4.865,336.8,0.8473,4.703,842,0.5,0.0055,20
13,95,52.62,21.19,3.91,17.54,41.23333333,58.8,5.853333333,6.97,8.63,199,244,273,121,42.23,29.18,14.08333333,3.703333333,52,2650,504,3,6.58,489.6,1.3997,4.865,326.4,0.8402,4.787,816,0.25,0.0055,21.1
14,93,52.62,21.19,3.91,17.54,26.3,52.8,4,5.16,7.975,144,193.5,244.5,149,42.23,29.18,14.08333333,3.703333333,37,2650,482,3,6.58,495.3,1.3997,4.865,330.2,0.8402,4.703,825.5,0.25,0.0055,21.7
15,95,52.62,21.19,3.91,17.54,26.3,52.8,4,5.16,7.975,144,193.5,244.5,138,42.23,29.18,14.08333333,3.703333333,35,2650,505,3,6.58,490.5,1.3997,4.865,327,0.8402,4.787,817.5,0.25,0.0055,20.2
16,90,52.62,21.19,3.91,17.54,41.23333333,58.8,5.853333333,6.97,8.63,199,244,273,160,42.23,29.18,14.08333333,3.703333333,40,2650,445,3,6.58,513.9,1.3997,4.865,342.6,0.8473,4.703,856.5,0.25,0.005,31.1
17,92,52.62,21.19,3.91,17.54,41.23333333,58.8,5.853333333,6.97,8.63,199,244,273,147,42.23,29.18,14.08333333,3.703333333,37,2650,469,3,6.58,509.7,1.3997,4.865,339.8,0.8473,4.703,849.5,0.25,0.005,28
18,113,52.62,21.19,3.91,17.54,41.23333333,58.8,5.853333333,6.97,8.63,199,244,273,201,42.23,29.18,14.08333333,3.703333333,50,2650,543,3,6.58,675.9,1.3986,4.865,826.1,0,0,0,0.35,0.005,28.8
19,115,52.62,21.19,3.91,17.54,41.23333333,58.8,5.853333333,6.97,8.63,199,244,273,184,42.23,29.18,14.08333333,3.703333333,46,2650,567,3,6.58,671.4,1.3986,4.865,820.6,0,0,0,0.35,0.005,24.8
20,115,52.62,21.19,3.91,17.54,41.23333333,58.8,5.853333333,6.97,8.63,199,244,273,184,42.23,29.18,14.08333333,3.703333333,46,2650,588,3,6.58,661.95,1.3986,4.865,809.05,0,0,0,0.35,0.005,24.2
21,117,52.62,21.19,3.91,17.54,41.23333333,58.8,5.853333333,6.97,8.63,199,244,273,170,42.23,29.18,14.08333333,3.703333333,43,2650,611,3,6.58,656.1,1.3986,4.865,801.9,0,0,0,0.35,0.005,19.7
22,119,52.62,21.19,3.91,17.54,41.23333333,58.8,5.853333333,6.97,8.63,199,244,273,158,42.23,29.18,14.08333333,3.703333333,40,2650,634,3,6.58,649.35,1.3986,4.865,793.65,0,0,0,0.35,0.005,18.3
23,90,52.62,21.19,3.91,17.54,41.23333333,58.8,5.853333333,6.97,8.63,199,244,273,200,0,0,0,0,0,2650,521,3,6.58,494.7,1.3997,4.865,329.8,0.8402,4.703,824.5,0.5,0.001,38
24,91,52.62,21.19,3.91,17.54,41.23333333,58.8,5.853333333,6.97,8.63,199,244,273,182,0,0,0,0,0,2650,547,3,6.58,492,1.3997,4.865,328,0.8402,4.764,820,0.5,0.001,35.9
25,91,52.62,21.19,3.91,17.54,41.23333333,58.8,5.853333333,6.97,8.63,199,244,273,162,42.23,29.18,14.08333333,3.703333333,40,2650,318,3,6.58,491.7,1.3997,4.865,327.8,0.8402,4.764,819.5,0.5,0.0015,36.7
26,92,52.62,21.19,3.91,17.54,41.23333333,58.8,5.853333333,6.97,8.63,199,244,273,147,42.23,29.18,14.08333333,3.703333333,37,2650,543,3,6.58,489.3,1.3997,4.865,326.2,0.8402,4.787,815.5,0.5,0.0015,29.4
27,117,52.62,21.19,3.91,17.54,41.23333333,58.8,5.853333333,6.97,8.63,199,244,273,213,0,0,0,0,0,2650,690,3,6.58,630.45,1.3986,4.865,770.55,0,0,0,0.5,0.001,29.7
28,117,52.62,21.19,3.91,17.54,41.23333333,58.8,5.853333333,6.97,8.63,199,244,273,234,0,0,0,0,0,2650,662,3,6.58,633.15,1.3986,4.865,773.85,0,0,0,0.5,0.001,31.7
29,95,52.62,21.19,3.91,17.54,41.23333333,58.8,5.853333333,6.97,8.63,199,244,273,152,42.23,29.18,14.08333333,3.703333333,38,2650,543,3,6.517,489.3,1.4364,4.865,326.2,1.1136,5.073,815.5,0.5,0.0015,24.6
30,100,52.62,21.19,3.91,17.54,41.23333333,58.8,5.853333333,6.97,8.63,199,244,273,178,42.23,29.18,14.08333333,3.703333333,44,2650,524,3,6.517,482.4,1.4364,4.865,643.2,1.5532,5.614,482.4,0.2,0.004,28.1
31,119,53.2067,20.5596,2.0342,17.2802,39.5,54.8,6,7.2,8.3,167.28,214.28,248.81,216,0,0,0,0,0,2650,689,3,6.58,630.45,1.3986,4.865,770.55,0,0,0,0.5,0.001,24.3
32,95,53.2067,20.5596,2.0342,17.2804,39.5,54.8,6,7.2,8.3,167.28,214.13,246.54,121,42.23,29.18,14.08333333,3.703333333,52,2650,555,3,6.58,474.3,1.3997,4.865,316.2,0.9846,5.114,790.5,0.5,0.0015,21.1
33,120,53.2067,20.5596,2.0342,17.2802,39.5,54.8,6,7.2,8.3,167.28,214.265,248.81,192,42.23,29.18,14.08333333,3.703333333,48,2650,659,3,6.58,630,1.3986,4.865,770,0,0,0,0.5,0.0015,24.7
34,119,52.7706,20.52482,2.6597,17.5407,42.1,55.6,6.5,7.7,8.8,169.56,214.63,261.49,216,0,0,0,0,0,2650,689,3,6.58,630.45,1.3986,4.865,770.55,0,0,0,0.5,0.001,21.2
35,95,52.7706,20.53152,2.6597,17.5424,42.1,55.6,6.5,7.7,8.8,169.56,214.615,259.46,121,42.23,29.18,14.08333333,3.703333333,52,2650,555,3,6.58,474.3,1.3997,4.865,316.2,0.9846,5.114,790.5,0.5,0.0015,19.2
36,120,52.7706,20.52482,2.6597,17.5407,42.1,55.6,6.5,7.7,8.8,169.56,214.615,261.49,192,42.23,29.18,14.08333333,3.703333333,48,2650,659,3,6.58,630,1.3986,4.865,770,0,0,0,0.5,0.0015,23.6
37,160,54.38,19.75,1.91,16.96,37.3,59.4,5.1,6.5,8.7,177.19,227,262,457,0,0,0,0,0,2650,589,0.4346,6.704,1251,0,0,0,0,0,0,0.5,0,46.6
38,159,54.38,19.75,1.91,16.96,37.3,59.4,5.1,6.5,8.7,177.19,227,262,398,0,0,0,0,0,2650,626,0.4346,6.704,1271,0,0,0,0,0,0,0.5,0,42.2
39,159,54.38,19.75,1.91,16.96,37.3,59.4,5.1,6.5,8.7,177.19,227,262,353,0,0,0,0,0,2650,652,0.4346,6.704,1294,0,0,0,0,0,0,0.5,0,36.9
40,159,54.38,19.75,1.91,16.96,37.3,59.4,5.1,6.5,8.7,177.19,227,262,317,0,0,0,0,0,2650,675,0.4346,6.704,1307,0,0,0,0,0,0,0.5,0,32.4
41,156,54.38,19.75,1.91,16.96,37.3,59.4,5.1,6.5,8.7,177.19,227,262,401,43.77,27.37,17.2,4.09,45,2650,595,0.4346,6.704,1262,0,0,0,0,0,0,0.5,0,44.5
42,156,54.38,19.75,1.91,16.96,37.3,59.4,5.1,6.5,8.7,177.19,227,262,351,43.77,27.37,17.2,4.09,39,2650,612,0.4346,6.704,1300,0,0,0,0,0,0,0.5,0,43.1
43,156,54.38,19.75,1.91,16.96,37.3,59.4,5.1,6.5,8.7,177.19,227,262,312,43.77,27.37,17.2,4.09,35,2650,647,0.4615,6.704,1314,0,0,0,0,0,0,0.5,0,37.8
44,155,54.38,19.75,1.91,16.96,37.3,59.4,5.1,6.5,8.7,177.19,227,262,279,43.77,27.37,17.2,4.09,31,2650,669,0.4975,6.704,1328,0,0,0,0,0,0,0.5,0,32.5
45,153,54.38,19.75,1.91,16.96,37.3,59.4,5.1,6.5,8.7,177.19,227,262,371.5,43.77,27.37,17.2,4.09,66,2650,588,0.4346,6.704,1280,0,0,0,0,0,0,0.5,0,42.3
46,153,54.38,19.75,1.91,16.96,37.3,59.4,5.1,6.5,8.7,177.19,227,262,325.5,43.77,27.37,17.2,4.09,57,2650,615,0.4346,6.704,1307,0,0,0,0,0,0,0.5,0,40.9
47,153,54.38,19.75,1.91,16.96,37.3,59.4,5.1,6.5,8.7,177.19,227,262,289,43.77,27.37,17.2,4.09,51,2650,639,0.4975,6.704,1324,0,0,0,0,0,0,0.5,0,35.1
48,152,54.38,19.75,1.91,16.96,37.3,59.4,5.1,6.5,8.7,177.19,227,262,258,43.77,27.37,17.2,4.09,46,2650,660,0.4975,6.704,1340,0,0,0,0,0,0,0.5,0,29.1
49,150,54.38,19.75,1.91,16.96,37.3,59.4,5.1,6.5,8.7,177.19,227,262,343.5,43.77,27.37,17.2,4.09,86,2650,589,0.4346,6.704,1285,0,0,0,0,0,0,0.5,0,40.2
50,150,54.38,19.75,1.91,16.96,37.3,59.4,5.1,6.5,8.7,177.19,227,262,300,43.77,27.37,17.2,4.09,75,2650,617,0.4346,6.704,1310,0,0,0,0,0,0,0.5,0,36.6
51,149,54.38,19.75,1.91,16.96,37.3,59.4,5.1,6.5,8.7,177.19,227,262,264,43.77,27.37,17.2,4.09,66,2650,642,0.4975,6.704,1336,0,0,0,0,0,0,0.5,0,31.2
52,149,54.38,19.75,1.91,16.96,37.3,59.4,5.1,6.5,8.7,177.19,227,262,238,43.77,27.37,17.2,4.09,60,2650,660,0.4975,6.704,1341,0,0,0,0,0,0,0.5,0,27.7
53,149,54.38,19.75,1.91,16.96,37.3,59.4,5.1,6.5,8.7,177.19,227,262,456,0,0,0,0,0,2650,565,0.4346,6.704,1226,0,0,0,0,0,0,0.5,0.007,34.5
54,147,54.38,19.75,1.91,16.96,37.3,59.4,5.1,6.5,8.7,177.19,227,262,351,43.77,27.37,17.2,4.09,39,2650,586,0.4346,6.704,1245,0,0,0,0,0,0,0.5,0.006,28.2
55,144,54.38,19.75,1.91,16.96,37.3,59.4,5.1,6.5,8.7,177.19,227,262,325.5,43.77,27.37,17.2,4.09,57,2650,587,0.4346,6.704,1251,0,0,0,0,0,0,0.5,0.006,27.8
56,146,54.38,19.75,1.91,16.96,37.3,59.4,5.1,6.5,8.7,177.19,227,262,312,43.77,27.37,17.2,4.09,35,2650,599,0.4346,6.704,1272,0,0,0,0,0,0,0.5,0.006,24.8
57,145,54.38,19.75,1.91,16.96,37.3,59.4,5.1,6.5,8.7,177.19,227,262,414.4,0,0,0,0,0,2650,621.7,0.4346,6.704,1214,0,0,0,0,0,0,0.5,0.003,48.6
58,145,54.38,19.75,1.91,16.96,37.3,59.4,5.1,6.5,8.7,177.19,227,262,373,43.77,27.37,17.2,4.09,41.5,2650,609,0.4346,6.704,1216,0,0,0,0,0,0,0.5,0.0033,48.5
59,146.5,54.38,19.75,1.91,16.96,37.3,59.4,5.1,6.5,8.7,177.19,227,262,334.8,43.77,27.37,17.2,4.09,83.6,2650,593.8,0.4346,6.704,1212,0,0,0,0,0,0,0.5,0.0043,47.6
60,148,54.38,19.75,1.91,16.96,37.3,59.4,5.1,6.5,8.7,177.19,227,262,296,43.77,27.37,17.2,4.09,126.7,2650,587.1,0.4346,6.704,1199,0,0,0,0,0,0,0.5,0.0065,39.5
61,146.5,54.38,19.75,1.91,16.96,37.3,59.4,5.1,6.5,8.7,177.19,227,262,325.5,0,0,0,0,0,2650,683.5,0.4346,6.704,1223,0,0,0,0,0,0,0.5,0.0035,33.4
62,146,54.38,19.75,1.91,16.96,37.3,59.4,5.1,6.5,8.7,177.19,227,262,292,43.77,27.37,17.2,4.09,32.4,2650,667.2,0.4346,6.704,1233,0,0,0,0,0,0,0.5,0.0033,34
63,146,54.38,19.75,1.91,16.96,37.3,59.4,5.1,6.5,8.7,177.19,227,262,259.6,43.77,27.37,17.2,4.09,64.8,2650,664,0.4346,6.704,1228,0,0,0,0,0,0,0.5,0.0045,33.1
64,146.5,54.38,19.75,1.91,16.96,37.3,59.4,5.1,6.5,8.7,177.19,227,262,227.7,43.77,27.37,17.2,4.09,97.7,2650,655.3,0.4346,6.704,1225,0,0,0,0,0,0,0.5,0.006,28.1
65,149,54.38,19.75,1.91,16.96,37.3,59.4,5.1,6.5,8.7,177.19,227,262,271,0,0,0,0,0,2650,736.2,0.4346,6.704,1210,0,0,0,0,0,0,0.5,0.004,25.1
66,149,54.38,19.75,1.91,16.96,37.3,59.4,5.1,6.5,8.7,177.19,227,262,244.1,43.77,27.37,17.2,4.09,27,2650,719,0.4346,6.704,1219,0,0,0,0,0,0,0.5,0.0038,25.1
67,149,54.38,19.75,1.91,16.96,37.3,59.4,5.1,6.5,8.7,177.19,227,262,216.7,43.77,27.37,17.2,4.09,54.4,2650,711.8,0.4346,6.704,1220,0,0,0,0,0,0,0.5,0.0043,24.9
68,149,54.38,19.75,1.91,16.96,37.3,59.4,5.1,6.5,8.7,177.19,227,262,189.7,43.77,27.37,17.2,4.09,81.4,2650,708.9,0.4346,6.704,1215,0,0,0,0,0,0,0.5,0.006,21.6
69,150,54.38,19.75,1.91,16.96,37.3,59.4,5.1,6.5,8.7,177.19,227,262,230.9,0,0,0,0,0,2650,778,0.4346,6.704,1201,0,0,0,0,0,0,0.5,0.004,20.5
70,150,54.38,19.75,1.91,16.96,37.3,59.4,5.1,6.5,8.7,177.19,227,262,207.7,43.77,27.37,17.2,4.09,23,2650,755,0.4346,6.704,1215,0,0,0,0,0,0,0.5,0.0043,20
71,150,54.38,19.75,1.91,16.96,37.3,59.4,5.1,6.5,8.7,177.19,227,262,184.7,43.77,27.37,17.2,4.09,45.9,2650,748.3,0.4346,6.704,1217,0,0,0,0,0,0,0.5,0.0047,19.2
72,150,54.38,19.75,1.91,16.96,37.3,59.4,5.1,6.5,8.7,177.19,227,262,161.8,43.77,27.37,17.2,4.09,69.1,2650,741,0.4346,6.704,1217,0,0,0,0,0,0,0.5,0.0065,17.1
73,148,54.38,19.75,1.91,16.96,37.3,59.4,5.1,6.5,8.7,177.19,227,262,269,0,0,0,0,0,2650,729.4,1.8,8.4,547.7,1.89,6.643,669.4,0,0,0,0.5,0.003,26.6
74,148,54.38,19.75,1.91,16.96,37.3,59.4,5.1,6.5,8.7,177.19,227,262,215.3,43.77,27.37,17.2,4.09,53.8,2650,704.6,1.8,8.4,552.1,1.89,6.643,674.8,0,0,0,0.5,0.003,24
75,148,54.38,19.75,1.91,16.96,37.3,59.4,5.1,6.5,8.7,177.19,227,262,188.4,43.77,27.37,17.2,4.09,80.7,2650,701.7,1.8,8.4,550,1.89,6.643,672,0,0,0,0.5,0.003,20.4
76,145,54.38,19.75,1.91,16.96,37.3,59.4,5.1,6.5,8.7,177.19,227,262,322,0,0,0,0,0,2650,678,1.8,8.4,554.3,1.89,6.643,677.5,0,0,0,0.5,0.003,32.9
77,143,54.38,19.75,1.91,16.96,37.3,59.4,5.1,6.5,8.7,177.19,227,262,254.2,43.77,27.37,17.2,4.09,63.6,2650,665,1.8,8.4,556,1.89,6.643,680,0,0,0,0.5,0.003,32.1
78,143,54.38,19.75,1.91,16.96,37.3,59.4,5.1,6.5,8.7,177.19,227,262,222.4,43.77,27.37,17.2,4.09,95.3,2650,652.6,1.8,8.4,557.9,1.89,6.643,681.9,0,0,0,0.5,0.003,30.4
79,142,54.38,19.75,1.91,16.96,37.3,59.4,5.1,6.5,8.7,177.19,227,262,355,0,0,0,0,0,2650,652.3,1.8,8.4,557.6,1.89,6.643,681.5,0,0,0,0.5,0.004,45
80,137,54.38,19.75,1.91,16.96,37.3,59.4,5.1,6.5,8.7,177.19,227,262,308.2,43.77,27.37,17.2,4.09,34.2,2650,658,1.8,8.4,562.4,1.89,6.643,687.4,0,0,0,0.5,0.004,40.7
81,134,54.38,19.75,1.91,16.96,37.3,59.4,5.1,6.5,8.7,177.19,227,262,284.8,43.77,27.37,17.2,4.09,50.2,2650,642.8,1.8,8.4,574.2,1.89,6.643,701.8,0,0,0,0.5,0.004,38.2
82,132,54.38,19.75,1.91,16.96,37.3,59.4,5.1,6.5,8.7,177.19,227,262,264,43.77,27.37,17.2,4.09,66,2650,644.7,1.8,8.4,576,1.89,6.643,704,0,0,0,0.5,0.004,42.4
83,137,54.38,19.75,1.91,16.96,37.3,59.4,5.1,6.5,8.7,177.19,227,262,391.4,0,0,0,0,0,2650,627.9,1.8,8.4,561,1.89,6.643,685.6,0,0,0,0.5,0.004,50.2
84,135,54.38,19.75,1.91,16.96,37.3,59.4,5.1,6.5,8.7,177.19,227,262,347.1,43.77,27.37,17.2,4.09,38.6,2650,609.9,1.8,8.4,570,1.89,6.643,696.6,0,0,0,0.5,0.004,47.1
85,133,54.38,19.75,1.91,16.96,37.3,59.4,5.1,6.5,8.7,177.19,227,262,323,43.77,27.37,17.2,4.09,57,2650,611.8,1.8,8.4,571.7,1.89,6.643,698.7,0,0,0,0.5,0.004,44.7
86,130,54.38,19.75,1.91,16.96,37.3,59.4,5.1,6.5,8.7,177.19,227,262,297.1,43.77,27.37,17.2,4.09,74.3,2650,616,1.8,8.4,575,1.89,6.643,703,0,0,0,0.5,0.004,48.5
87,140,54.38,19.75,1.91,16.96,37.3,59.4,5.1,6.5,8.7,177.19,227,262,466.7,0,0,0,0,0,2650,586.1,1.8,8.4,547.7,1.89,6.643,669.5,0,0,0,0.5,0.004,58
88,137,54.38,19.75,1.91,16.96,37.3,59.4,5.1,6.5,8.7,177.19,227,262,411,43.77,27.37,17.2,4.09,45.7,2650,570.2,1.8,8.4,557.7,1.89,6.643,681.6,0,0,0,0.5,0.004,53.4
89,137,54.38,19.75,1.91,16.96,37.3,59.4,5.1,6.5,8.7,177.19,227,262,388.2,43.77,27.37,17.2,4.09,68.5,2650,568.6,1.8,8.4,556.1,1.89,6.643,679.7,0,0,0,0.5,0.004,51.8
90,137,54.38,19.75,1.91,16.96,37.3,59.4,5.1,6.5,8.7,177.19,227,262,365.3,43.77,27.37,17.2,4.09,91.3,2650,549.4,1.8,8.4,562.8,1.89,6.643,687.9,0,0,0,0.5,0.004,54.3
91,145,54.38,19.75,1.91,16.96,37.3,59.4,5.1,6.5,8.7,177.19,227,262,483,0,0,0,0,0,2650,678,0.4346,6.704,1193,0,0,0,0,0,0,1.2,0,52.9
92,146,54.38,19.75,1.91,16.96,37.3,59.4,5.1,6.5,8.7,177.19,227,262,438,43.77,27.37,17.2,4.09,49,2650,653,0.4346,6.704,1201,0,0,0,0,0,0,1.2,0,59.7
93,147,54.38,19.75,1.91,16.96,37.3,59.4,5.1,6.5,8.7,177.19,227,262,416.5,43.77,27.37,17.2,4.09,73.5,2650,649,0.4346,6.704,1193,0,0,0,0,0,0,1.2,0,55.5
94,148,54.38,19.75,1.91,16.96,37.3,59.4,5.1,6.5,8.7,177.19,227,262,395,43.77,27.37,17.2,4.09,98,2650,645,0.4346,6.704,1186,0,0,0,0,0,0,1.2,0,56.1
95,145,54.38,19.75,1.91,16.96,37.3,59.4,5.1,6.5,8.7,177.19,227,262,414,0,0,0,0,0,2650,718,0.4346,6.704,1212,0,0,0,0,0,0,1.2,0,45.8
96,146,54.38,19.75,1.91,16.96,37.3,59.4,5.1,6.5,8.7,177.19,227,262,375,43.77,27.37,17.2,4.09,42,2650,694,0.4346,6.704,1221,0,0,0,0,0,0,1.2,0,48.8
97,147,54.38,19.75,1.91,16.96,37.3,59.4,5.1,6.5,8.7,177.19,227,262,357,43.77,27.37,17.2,4.09,63,2650,690,0.4346,6.704,1215,0,0,0,0,0,0,1.2,0,44.9
98,148,54.38,19.75,1.91,16.96,37.3,59.4,5.1,6.5,8.7,177.19,227,262,338,43.77,27.37,17.2,4.09,85,2650,685,0.4346,6.704,1206,0,0,0,0,0,0,1.2,0,44.1
99,145,54.38,19.75,1.91,16.96,37.3,59.4,5.1,6.5,8.7,177.19,227,262,362.5,0,0,0,0,0,2650,754,0.4346,6.704,1220,0,0,0,0,0,0,1.2,0,41.6
100,146,54.38,19.75,1.91,16.96,37.3,59.4,5.1,6.5,8.7,177.19,227,262,328.5,43.77,27.37,17.2,4.09,36.5,2650,729,0.4346,6.704,1231,0,0,0,0,0,0,1.2,0,41.7
